"id";"code";"marque"
"1";"AI";"AIWAYS"
"2";"AK";"ALEKO"
"3";"AR";"ALFA ROMEO"
"4";"AL";"ALPINE RENAULT"
"5";"AO";"ARO"
"6";"AA";"ASIA"
"7";"AM";"ASTON MARTIN"
"8";"AU";"AUDI"
"9";"AN";"AUSTIN"
"10";"AB";"AUTOBIANCHI"
"11";"AV";"AUVERLAND"
"12";"BE";"BEDFORD"
"13";"BV";"BEE BEE AUTOMOTIVE"
"14";"BC";"BENTLEY"
"15";"BT";"BERTONE"
"16";"BM";"BMW"
"17";"BK";"BUICK"
"18";"CA";"CADILLAC"
"19";"CV";"CHEVROLET"
"20";"CH";"CHRYSLER"
"21";"CI";"CITROEN"
"22";"CB";"COURB"
"23";"CK";"CUPRA"
"24";"DC";"DACIA"
"25";"DW";"DAEWOO"
"26";"DF";"DAF"
"27";"DH";"DAIHATSU"
"28";"DM";"DAIMLER"
"29";"DA";"DATSUN"
"30";"DG";"DODGE"
"31";"DS";"DS"
"32";"EB";"EBRO"
"33";"FR";"FERRARI"
"34";"FI";"FIAT"
"35";"FK";"FISKER"
"36";"FO";"FORD"
"37";"FP";"FSO-POLSKI"
"38";"GC";"GAC GONOW"
"39";"GM";"GME"
"40";"GR";"GRANDIN"
"41";"HO";"HONDA"
"42";"HD";"HYUNDAI"
"43";"IF";"INFINITI"
"44";"IN";"INNOCENTI"
"45";"IS";"ISUZU"
"46";"IU";"IVECO"
"47";"JA";"JAGUAR"
"48";"JP";"JEEP"
"49";"KA";"KIA"
"50";"LD";"LADA"
"51";"LB";"LAMBORGHINI"
"52";"LA";"LANCIA"
"53";"LR";"LAND ROVER"
"54";"LL";"LDV"
"55";"LX";"LEXUS"
"56";"LO";"LOTUS"
"57";"LC";"LYNK&CO"
"58";"MH";"MAHINDRA"
"59";"NM";"MAN"
"60";"MA";"MARUTI"
"61";"MS";"MASERATI"
"62";"MT";"MATRA"
"63";"MZ";"MAZDA"
"64";"MC";"MCC"
"65";"MM";"MEGA"
"66";"ME";"MERCEDES"
"67";"MG";"MG"
"68";"IA";"MIA"
"69";"MN";"MINI"
"70";"MI";"MITSUBISHI"
"71";"PM";"MPM MOTORS"
"72";"NA";"NISSAN"
"73";"OP";"OPEL"
"74";"PA";"PANHARD"
"75";"PE";"PEUGEOT"
"76";"PI";"PIAGGIO"
"77";"PC";"PONTIAC"
"78";"PO";"PORSCHE"
"79";"PR";"PROTON"
"80";"RE";"RENAULT"
"81";"RO";"ROVER"
"82";"SB";"SAAB"
"83";"SA";"SANTANA"
"84";"SE";"SEAT"
"85";"DK";"SERES DFSK"
"86";"SK";"SKODA"
"87";"ST";"SMART"
"88";"SG";"SSANGYONG"
"89";"SR";"SUBARU"
"90";"SU";"SUNBEAM"
"91";"SZ";"SUZUKI"
"92";"TA";"TALBOT"
"93";"TT";"TATA"
"94";"TL";"TESLA"
"95";"TK";"THINK"
"96";"TO";"TOYOTA"
"97";"TR";"TRIUMPH"
"98";"UM";"UMM"
"99";"VW";"VOLKSWAGEN"
"100";"VO";"VOLVO"
"101";"ZA";"ZASTAVA"
"102";"ZZ";"ZAZ"
